date,rate
1/1/1986,8.06
1/2/1986,8.125
1/3/1986,8.125
1/6/1986,8.1875
1/7/1986,8.125
1/8/1986,8
1/9/1986,8.1875
1/10/1986,8.25
1/13/1986,8.3125
1/14/1986,8.375
1/15/1986,8.25
1/16/1986,8.19
1/17/1986,8.19
1/20/1986,8.25
1/21/1986,8.19
1/22/1986,8.19
1/23/1986,8.19
1/24/1986,8.19
1/27/1986,8.13
1/28/1986,8.06
1/29/1986,8.06
1/30/1986,8.06
1/31/1986,8.06
2/1/1986,7.94
2/3/1986,8.06
2/4/1986,8.03
2/5/1986,8
2/6/1986,8
2/7/1986,8
2/10/1986,8.06
2/11/1986,8.03
2/12/1986,8.06
2/13/1986,8.06
2/14/1986,8
2/17/1986,8
2/18/1986,8
2/19/1986,8
2/20/1986,8
2/21/1986,8
2/24/1986,8
2/25/1986,7.94
2/26/1986,8
2/27/1986,7.97
2/28/1986,7.94
3/1/1986,7.5
3/3/1986,7.94
3/4/1986,7.91
3/5/1986,7.81
3/6/1986,7.81
3/7/1986,7.66
3/10/1986,7.56
3/11/1986,7.5
3/12/1986,7.5
3/13/1986,7.56
3/14/1986,7.56
3/17/1986,7.56
3/18/1986,7.63
3/19/1986,7.69
3/20/1986,7.69
3/21/1986,7.63
3/24/1986,7.63
3/25/1986,7.63
3/26/1986,7.56
3/27/1986,7.5
4/1/1986,6.94
4/2/1986,7.44
4/3/1986,7.44
4/4/1986,7.5
4/7/1986,7.41
4/8/1986,7.19
4/9/1986,6.88
4/10/1986,6.94
4/11/1986,6.94
4/14/1986,6.94
4/15/1986,6.94
4/16/1986,6.88
4/17/1986,6.69
4/18/1986,6.69
4/21/1986,6.81
4/22/1986,6.88
4/23/1986,7
4/24/1986,7
4/25/1986,7
4/28/1986,7
4/29/1986,6.94
4/30/1986,6.94
5/1/1986,7.13
5/2/1986,7
5/6/1986,6.94
5/7/1986,6.94
5/8/1986,6.94
5/9/1986,6.94
5/12/1986,7
5/13/1986,7.06
5/14/1986,7
5/15/1986,7.06
5/16/1986,7.13
5/19/1986,7.13
5/20/1986,7.16
5/21/1986,7.06
5/22/1986,7.06
5/23/1986,7.06
5/27/1986,7
5/28/1986,7
5/29/1986,7.06
5/30/1986,7.13
6/1/1986,7.03
6/2/1986,7.13
6/3/1986,7.19
6/4/1986,7.19
6/5/1986,7.19
6/6/1986,7.19
6/9/1986,7.06
6/10/1986,7.13
6/11/1986,7.13
6/12/1986,7.13
6/13/1986,7.13
6/16/1986,7.06
6/17/1986,7.06
6/18/1986,7.06
6/19/1986,7.06
6/20/1986,7.06
6/23/1986,7.06
6/24/1986,7.06
6/25/1986,7.06
6/26/1986,7.06
6/27/1986,7.06
6/30/1986,7.03
7/1/1986,6.56
7/2/1986,7
7/3/1986,7
7/4/1986,6.94
7/7/1986,6.94
7/8/1986,6.94
7/9/1986,7
7/10/1986,6.88
7/11/1986,6.69
7/14/1986,6.69
7/15/1986,6.56
7/16/1986,6.56
7/17/1986,6.59
7/18/1986,6.63
7/21/1986,6.56
7/22/1986,6.56
7/23/1986,6.56
7/24/1986,6.63
7/25/1986,6.63
7/28/1986,6.63
7/29/1986,6.63
7/30/1986,6.56
7/31/1986,6.56
8/1/1986,5.94
8/4/1986,6.5
8/5/1986,6.5
8/6/1986,6.5
8/7/1986,6.5
8/8/1986,6.47
8/11/1986,6.44
8/12/1986,6.44
8/13/1986,6.38
8/14/1986,6.25
8/15/1986,6.28
8/18/1986,6.31
8/19/1986,6.31
8/20/1986,6.25
8/21/1986,6
8/22/1986,6
8/26/1986,5.94
8/27/1986,5.88
8/28/1986,5.94
8/29/1986,5.94
9/1/1986,6.13
9/2/1986,5.81
9/3/1986,5.94
9/4/1986,6
9/5/1986,5.94
9/8/1986,6.03
9/9/1986,6.06
9/10/1986,6.02
9/11/1986,6.06
9/12/1986,6.19
9/15/1986,6.13
9/16/1986,6.13
9/17/1986,6.19
9/18/1986,6.13
9/19/1986,6.19
9/22/1986,6.19
9/23/1986,6.19
9/24/1986,6.14
9/25/1986,6.06
9/26/1986,6.13
9/29/1986,6.13
9/30/1986,6.13
10/1/1986,5.94
10/2/1986,6.06
10/3/1986,6.06
10/6/1986,6
10/7/1986,5.94
10/8/1986,5.94
10/9/1986,5.91
10/10/1986,5.88
10/13/1986,5.94
10/14/1986,5.94
10/15/1986,6
10/16/1986,6
10/17/1986,6.06
10/20/1986,6.13
10/21/1986,6.13
10/22/1986,6.06
10/23/1986,6.06
10/24/1986,6.06
10/27/1986,6.06
10/28/1986,6.03
10/29/1986,6
10/30/1986,5.88
10/31/1986,5.94
11/1/1986,6.38
11/3/1986,6
11/4/1986,6
11/5/1986,6.06
11/6/1986,6.06
11/7/1986,6.06
11/10/1986,6.13
11/11/1986,6.13
11/12/1986,6.13
11/13/1986,6.06
11/14/1986,6.06
11/17/1986,6.08
11/18/1986,6.13
